Nom,10m - Tentative 1,10m - Tentative 2,30m - Tentative 1,30m - Tentative 2
Joueur 1,2,2.19,4.87,4.67
Joueur 2,2.1,2.07,4.6,4.72
Joueur 3,2.07,2.09,4.83,4.88
Joueur 4,2.15,2.3,4.85,4.82
Joueur 5,2.15,2.1,5.05,4.97
Joueur 6,2,2.1,4.54,4.57
Joueur 7,2.17,2.2,4.85,4.77
Joueur 8,2.1,2.1,4.84,4.83
Joueur 9,2.25,2,4.8,4.64
Joueur 10,2.25,2.3,5.2,5.17
Joueur 11,2.15,2.07,4.7,4.73
Joueur 12,2.1,2.2,4.87,4.8
Joueur 13,2.05,2.27,4.77,4.88
Joueur 14,2.15,2.05,4.6,4.75
Joueur 15,2.1,2.08,4.7,4.9
Joueur 16,2.25,2.25,5.3,5.25
Joueur 17,2.2,2.11,4.85,5.07
Joueur 18,2.15,2.15,5.05,4.85
Joueur 19,2.17,2.17,4.87,4.76
Joueur 20,2.4,2.3,5.2,5.4
Joueur 21,2.23,2.25,4.87,4.82
Joueur 22,2.15,2.16,4.87,5.05
Joueur 23,2.1,2.1,4.67,4.78
